1560	4	1	Team
3116	4	2	Team
4672	4	3	Team
6228	4	4	Team
7784	4	5	Team
9340	4	6	Team
10896	4	7	Team
12452	4	8	Tyre
14008	4	9	Tyre
15564	4	10	Tyre
17120	4	11	Engine
18676	4	12	Engine
20232	4	13	Engine
21788	4	14	Engine
23344	4	15	Engine
24900	4	16	Engine
26456	4	17	Engine
28012	4	18	Engine
29568	4	19	Fuel
31124	4	20	Fuel
32680	4	21	Fuel
34236	4	22	Fuel
35792	4	23	Fuel
37348	4	24	Fuel
38904	4	25	Fuel
40460	4	26	Fuel
42016	4	27	Fuel
43572	4	28	Cash
45128	4	29	Cash
46684	4	30	Cash
48240	4	31	Cash
49796	4	32	Cash
51352	4	33	Cash
52908	4	34	Cash
54464	4	35	Cash
56020	4	36	Cash
57576	4	37	Cash
59132	4	38	Cash
60688	4	39	Cash
62244	4	40	Cash
63800	4	41	Cash
65356	4	42	Cash
66912	4	43	Cash
68468	4	44	Cash
70024	4	45	Cash
71580	4	46	Cash
73136	4	47	Cash
74692	4	48	Cash
76248	4	49	Cash
77804	4	50	Cash
79360	4	51	Cash
80916	4	52	Cash
82472	4	53	Cash
84028	4	54	Cash
85584	4	55	Cash
87140	4	56	Cash
88696	4	57	Cash
90252	4	58	Cash
91808	4	59	Cash
93364	4	60	Cash
94920	4	61	Cash
96476	4	62	Cash
98032	4	63	Cash
99588	4	64	Cash
101144	4	65	Cash
102700	4	66	Cash
104256	4	67	Cash
105812	4	68	Cash
107368	4	69	Cash
108924	4	70	Cash
110480	4	71	Cash
112036	4	72	Cash
113592	4	73	Cash
115148	4	74	Cash
116704	4	75	Cash
118260	4	76	Cash
119816	4	77	Cash
121372	4	78	Cash
122928	4	79	Cash
124484	4	80	Cash
126040	4	81	Cash
127596	4	82	Cash
129152	4	83	Cash
130708	4	84	Cash
132264	4	85	Cash
133820	4	86	Cash
135376	4	87	Cash
136932	4	88	Cash
138488	4	89	Cash
140044	4	90	Cash
141600	4	91	Cash
143156	4	92	Cash
144712	4	93	Cash
146268	4	94	Cash
147824	4	95	Cash
149380	4	96	Cash
150936	4	97	Cash
152492	4	98	Cash
